0.24045381546301134, 0.6100004726730472, 0.14954571186394128
4.721249396374767, 4.6135358871844305, 9.244647203095868
1.1221004077904873, -0.006997321229537334, -0.23074730264600163
-0.006997321229537334, 0.4100286342673378, -0.12670650332191258
-0.23074730264600163, -0.12670650332191258, 1.7707134191962268
-8.63067512634618, -4.703259254078633, 0.3217850572099836
10.393368400140943, 19.731807199382217, 9.219863929481516
19.731807199382217, 59.68393450968618, 25.50848570985805
9.219863929481516, 25.50848570985805, 14.246073441524278
5.003030806594932, 6.088981807541458, 10.625152520963713
0.5892853864369805, -0.17970590713973422, 0.5996030108151658
-0.17970590713973422, 0.19379939084328157, -0.15114270948107844
0.5996030108151658, -0.15114270948107844, 2.1298681701331645
5.15947411463, 6.50973380002, 10.5286811891, 2
-8.88690259018, -10.3673335471, -4.10145566664, 1
-9.09293542266, -10.4973686361, 0.581900615743, 1
4.6955187968, 4.75932048544, 8.54067304832, 0
-10.2863519487, -9.96481165885, 0.254514965735, 1
-12.706792642, -9.34457672652, -2.88792774111, 1
-12.1900529149, -9.86277478626, 0.547327552957, 1
-6.48349825688, 4.45120685296, 4.94688172284, 1
5.30738421863, 6.47192936897, 10.5700496332, 2
-15.3146294101, -8.8379552385, -3.72245068061, 1
-15.1141092081, -10.9507580452, -3.59728425637, 1
-10.6733121295, -12.2073565381, -4.45611541217, 1
-10.2522355465, -9.65875319878, -2.10083577782, 1
4.7820537379, 4.65873828379, 5.43059818703, 0
-4.02660114634, 9.40140419843, 4.99554010011, 1
-11.5752140211, -10.4225433039, -2.9133246064, 1
-5.82717174557, 7.21078853619, 4.58089308055, 1
-6.8042214319, 6.21423948985, 4.73876091438, 1
-9.26076082739, -11.3186003114, -0.70788337318, 1
-11.263043525, -12.2931330537, -2.49270969005, 1
3.60899648867, 3.98009796259, 8.92497161474, 0
2.80277756811, 5.55447240442, 11.2089289546, 0
5.39111651499, 3.57784414929, 11.2839611434, 0
-7.93504056849, -10.3366114768, -1.11657602539, 1
-4.60449725897, 5.58174877485, 5.17675543928, 1
-4.38357857378, 3.05138430076, 4.7744633501, 1
6.86292758511, 5.36344556214, 7.92801276832, 0
4.91941677796, 5.74268622116, 11.1809514051, 2
-0.815871768436, 5.05928585024, 4.99566546298, 1
-13.4664432733, -12.1931398701, -2.81849041851, 1
-9.43079394037, -7.88865455308, -1.22811458871, 1
4.39128919674, 6.40836914608, 10.5942236847, 2
4.13350479624, 3.57978700105, 11.7884502322, 0
4.53881258686, 3.48189202474, 9.05699177757, 0
3.67092117083, 6.25333594686, 7.66131808806, 2
-11.4052532527, -11.5597405757, -1.94393257595, 1
-8.60842536172, -6.75101814823, -6.34743145939, 1
-12.9227023436, -9.2357441557, -1.66861092022, 1
-8.77775289989, -10.2494384348, -3.81830262139, 1
-11.4802230778, -12.0100946375, 0.133211191727, 1
-8.63985693427, -11.7406541696, -0.148178456331, 1
-5.35165247598, 6.28043736084, 4.5264879609, 1
-10.1350163542, -12.0752026339, -6.02232197755, 1
6.19208583748, 4.84922972802, 9.18265208611, 0
-5.37966447872, 6.18496270928, 3.00633480092, 1
4.84922107061, 5.40309514832, 8.84831576343, 0
-13.1385122548, -10.8839397867, 0.180197407073, 1
-7.68018302681, 4.1044571493, 5.06203480592, 1
-8.01835861014, -6.98461343178, -3.61025256665, 1
4.64521854138, 4.79904827134, 8.55772767852, 0
2.95782884809, 4.18406434855, 10.3638169678, 0
-4.73488111752, 1.88648339589, 3.74087437122, 1
5.45283181262, 6.15806341626, 9.56451262308, 2
5.79919047258, 4.93850142825, 10.233671674, 0
5.74026501763, 5.91862579349, 10.5507351741, 2
5.59489386524, 3.62093538301, 8.98193159445, 0
-11.7656579754, -10.5994455226, -5.11157173268, 1
-10.4501235345, -10.2565189655, -2.28119368712, 1
-7.67786328471, -10.1709269088, -0.72201416481, 1
5.24537940726, 4.70849328743, 9.69596806213, 0
-8.45261132018, -11.3997661621, -2.81169828633, 1
-8.90534505178, 6.37680350361, 4.90773497232, 1
-4.88474574839, 7.81184909027, 4.26405357608, 1
5.66567840476, 4.84246141827, 8.19337015878, 0
4.12988236478, 4.75363574277, 9.75733422054, 0
-5.74270694308, 4.12392333628, 5.01824072594, 1
-9.6914198989, -11.987073017, -3.6732319017, 1
6.19998764858, 5.90430622013, 12.1498399996, 2
6.17045429736, 5.31012252063, 12.5246099472, 2
-9.89047527396, -10.9421411475, -3.60178641023, 1
